name,extensions,prismIndicator,founder,year
SystemVerilog,.sv|.svh|.vh,,Synopsys,2002
TI Program,.8xp|.8xk|.8xk.txt|.8xp.txt,,,1964
TLA,.tla,,Leslie Lamport,1999
TOML,.toml,toml,Preston-Werner,2013
TSQL,.sql,,Donald D. Chamberlin Raymond F. Boyce,1974
TSX,.tsx,tsx,Microsoft Corporation,2012
TXL,.txl,,James Cordy,1985
Tcl,.tcl|.adp|.tm,tcl,John Ousterhout,1988
Tcsh,.tcsh|.csh,,Ken Greer,1978
TeX,.tex|.aux|.bbx|.cbx|.cls|.dtx|.ins|.lbx|.ltx|.mkii|.mkiv|.mkvi|.sty|.toc,markup,Donald Knuth,1977
Tea,.tea,markup,Jorge Nunes,1997
Terra,.t,,,2012
Thrift,.thrift,,Facebook,2007
Turing,.t|.tu,, Ric Holt|James Cordy,1982
Turtle,.ttl,turtle,Wally Feurzeig|Seymour Papert|Cynthia Solomon,1967
Twig,.twig,markup,Fabien Potencier,2009
TypeScript,.ts,typescript,Microsoft Corporation,2012
Unified Parallel C,.upc,,UPC Consortium,1972
Unix Assembly,.s|.ms,,Dennis Ritchie,1969
Uno,.uno,,arduino.cc,2005
UnrealScript,.uc,unrealscript,Tim Sweeney,1998
UrWeb,.ur|.urs,,Adam Chlipala,2014
V,.v,,Alex Medvednikov,2009
VBA,.bas|.cls|.frm|.frx|.vba,,Microsoft,1993
VBScript,.vbs,,Microsoft,1996
VCL,.vcl,,Borland,2001
VHDL,.vhdl|.vhd|.vhf|.vhi|.vho|.vhs|.vht|.vhw,vhdl,U.S. Department of Defense ,1980s
Vala,.vala|.vapi,vala,Jürg Billeter,2006
Verilog,.v|.veo,verilog,Candence,1984
Vim Snippet,.snip|.snippet|.snippets,markup,Bram Moolenaar,1991
Vim script,.vim|.vba|.vmb,vim,Bram Moolenaar,1991
Visual Basic .NET,.vb|.vbhtml,,Microsoft Corporation,2001
Volt,.volt,,Alex Medvednikov,2009
Vue,.vue,markup,Evan You,2014
WebAssembly,.wast|.wat,,World Wide Web Consortium,2017
WebIDL,.webidl,,David Stern,2012
WebVTT,.vtt,,,2010
Wollok,.wlk,,,
X10,.x10,,,2004
XC,.xc,,Dennis Ritchie,1972
